City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Petropavlovsk-Kamchatskiy,53.0452,158.6483,6.8,66,30,6.71,RU,1610232878
Butaritari,3.0707,172.7902,81.63,81,50,20.27,KI,1610232878
Pouembout,-21.1333,164.9,85.78,70,100,2.37,NC,1610232879
Port Alfred,-33.5906,26.891,70.0,89,14,7.0,ZA,1610232880
Alyangula,-13.8483,136.4192,84.2,89,88,2.3,AU,1610232880
Hue,16.4667,107.6,57.2,100,90,8.05,VN,1610232880
Torbay,47.6666,-52.7314,34.0,80,40,18.41,CA,1610232881
Pemangkat,1.1667,108.9667,77.04,90,100,7.09,ID,1610232881
Ushuaia,-54.8,-68.3,53.6,54,75,6.91,AR,1610232657
Mataura,-46.1927,168.8643,61.63,55,88,7.34,NZ,1610232874
Kiryat Gat,31.61,34.7642,59.0,67,0,4.61,IL,1610232883
Durazno,-33.4131,-56.5006,79.99,31,98,6.06,UY,1610232884
Punta Arenas,-53.15,-70.9167,50.0,76,75,11.5,CL,1610232878
Bereket,39.2446,55.5154,35.6,74,63,4.07,TM,1610232885
Dikson,73.5069,80.5464,-5.75,87,100,10.09,RU,1610232886
Muravlenko,63.7898,74.523,-14.08,90,95,6.4,RU,1610232886
Geraldton,-28.7667,114.6,73.4,83,75,13.8,AU,1610232709
Hobart,-42.8794,147.3294,71.01,59,20,5.75,AU,1610232647
Atuona,-9.8,-139.0333,77.92,78,97,17.63,PF,1610232887
Lagoa,39.05,-27.9833,56.68,60,94,7.7,PT,1610232888
Kruisfontein,-34.0033,24.7314,69.01,82,40,4.0,ZA,1610232889
Vila Velha,-20.3297,-40.2925,79.0,83,40,13.8,BR,1610232889
Pirovskoye,57.6267,92.2658,0.72,92,100,10.13,RU,1610232890
Hirara,24.8,125.2833,55.4,58,75,9.22,JP,1610232890
Hermanus,-34.4187,19.2345,64.99,92,79,12.12,ZA,1610232891
Melito di Porto Salvo,37.9222,15.7714,60.8,88,75,5.75,IT,1610232891
Porbandar,21.6422,69.6093,65.21,65,1,12.12,IN,1610232891
Cape Town,-33.9258,18.4232,68.0,77,75,5.75,ZA,1610232892
Cherskiy,68.75,161.3,-30.17,84,65,2.66,RU,1610232893
Port Blair,11.6667,92.75,79.56,81,16,11.07,IN,1610232894
Hilo,19.7297,-155.09,80.6,61,75,6.91,US,1610232895
Fortuna,40.5982,-124.1573,61.0,58,1,3.06,US,1610232895
Puerto Cabezas,14.0351,-83.3888,82.4,83,40,6.91,NI,1610232895
Tasiilaq,65.6145,-37.6368,17.6,49,54,6.91,GL,1610232896
Yumen,40.2833,97.2,9.41,90,8,27.07,CN,1610232893
Yellowknife,62.456,-114.3525,12.2,92,20,5.75,CA,1610232897
Port Elizabeth,-33.918,25.5701,69.8,88,0,18.41,ZA,1610232897
Busselton,-33.65,115.3333,68.0,81,97,1.99,AU,1610232696
Grenfell,-33.9,148.1667,78.01,44,0,3.0,AU,1610232898
Ponta do Sol,32.6667,-17.1,53.01,72,44,4.0,PT,1610232898
Chui,-33.6971,-53.4616,67.24,68,98,10.4,UY,1610232899
Várzea da Palma,-17.5981,-44.7308,74.46,87,100,2.35,BR,1610232899
Kapaa,22.0752,-159.319,77.0,69,75,6.91,US,1610232847
Vaini,-21.2,-175.2,82.4,89,75,8.05,TO,1610232900
Saint Paul Harbor,57.79,-152.4072,35.6,87,90,26.46,US,1610232901
Bandarbeyla,9.4942,50.8122,72.46,73,25,22.01,SO,1610232901
Qaanaaq,77.484,-69.3632,-1.57,77,0,4.59,GL,1610232902
Benguela,-12.5763,13.4055,73.4,75,70,3.76,AO,1610232668
Kushmurun,52.4503,64.6311,10.76,95,100,13.29,KZ,1610232903
Ilulissat,69.2167,-51.1,21.2,45,75,16.11,GL,1610232903
Los Llanos de Aridane,28.6585,-17.9182,60.8,59,20,14.97,ES,1610232904
Rikitea,-23.1203,-134.9692,78.58,75,100,13.11,PF,1610232891
Berlevåg,70.8578,29.0864,16.36,93,28,16.42,NO,1610232905
Ketchikan,55.3422,-131.6461,39.2,87,90,16.11,US,1610232744
Srednekolymsk,67.45,153.6833,-28.84,84,83,4.79,RU,1610232902
Rantepao,-2.9701,119.8978,69.42,87,76,1.68,ID,1610232906
Paso de Carrasco,-34.8603,-56.0522,71.6,73,0,10.36,UY,1610232906
Mar del Plata,-38.0023,-57.5575,69.8,73,0,18.41,AR,1610232901
Richards Bay,-28.783,32.0377,72.54,79,1,10.58,ZA,1610232907
Khani,41.9563,42.9566,37.4,65,0,6.91,GE,1610232908
Swan River,52.1058,-101.2676,21.2,79,0,14.97,CA,1610232908
Caravelas,-17.7125,-39.2481,78.12,83,3,9.37,BR,1610232909
Māndal,25.45,74.5667,58.89,79,0,5.93,IN,1610232909
Paso de los Toros,-32.8167,-56.5167,83.25,29,100,5.7,UY,1610232910
Sambava,-14.2667,50.1667,75.94,84,2,5.82,MG,1610232910
Codrington,-38.2667,141.9667,70.23,57,3,7.36,AU,1610232911
Barrow,71.2906,-156.7887,6.8,78,90,6.91,US,1610232911
Ponta Delgada,37.7333,-25.6667,53.6,58,40,5.75,PT,1610232912
Maba,24.6841,113.5984,41.13,53,95,3.13,CN,1610232912
Margate,51.3813,1.3862,36.0,87,5,1.99,GB,1610232913
Vaijāpur,19.9167,74.7333,71.28,73,38,7.4,IN,1610232913
Tunceli,39.1083,39.5471,26.6,100,90,3.71,TR,1610232914
Katsuura,35.1333,140.3,33.8,60,20,5.75,JP,1610232914
Kavieng,-2.5744,150.7967,84.2,73,100,10.67,PG,1610232915
De Aar,-30.6497,24.0123,74.48,48,50,11.54,ZA,1610232916
Manaure,11.7751,-72.4445,81.93,68,76,15.14,CO,1610232917
Gallup,35.5281,-108.7426,28.4,80,90,5.75,US,1610232917
Bluff,-46.6,168.3333,56.17,80,100,20.04,NZ,1610232918
Sobolevo,54.4299,31.8996,14.77,97,99,6.17,RU,1610232918
Malé,4.1748,73.5089,80.6,83,75,3.44,MV,1610232919
Thompson,55.7435,-97.8558,6.8,92,20,3.44,CA,1610232919
Baykit,61.67,96.37,-9.06,86,100,1.9,RU,1610232919
Maragogi,-9.0122,-35.2225,78.51,76,84,11.86,BR,1610232920
Hyderabad,17.3753,78.4744,69.01,100,87,3.44,IN,1610232803
Madimba,-10.4,40.3333,75.2,83,75,13.8,TZ,1610232921
Hvide Sande,56.0045,8.1294,34.0,83,99,16.67,DK,1610232922
Namatanai,-3.6667,152.4333,84.42,69,88,6.15,PG,1610232922
Kulhudhuffushi,6.6221,73.07,81.99,74,78,9.44,MV,1610232923
Ancud,-41.8697,-73.8203,57.99,82,90,18.41,CL,1610232923
Berea,41.3662,-81.8543,30.99,72,62,6.17,US,1610232785
Clyde River,70.4692,-68.5914,3.2,78,90,12.66,CA,1610232924
Mossamedes,-15.1961,12.1522,70.75,75,72,8.12,AO,1610232925
